Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home page,65921,3177,108,625257,9489.84,0.299%,28.55159,405.95,3.31,14559.3
Sign in Page,65848,1570,96,298420,6237.38,0.433%,28.57878,75.72,3.45,2713.2
Maps ,65816,1191,97,285478,4335.79,0.176%,28.56453,85.00,3.43,3047.3
Dashboard: As of Today,65796,1088,95,251878,4241.67,0.167%,28.55590,71.69,3.73,2570.6
Dashboard: Vital signs,65776,1206,97,283293,4621.34,0.116%,28.54750,92.63,3.90,3322.5
Dashboard: Payment summary,65760,1252,97,185932,4662.79,0.161%,28.54097,92.81,4.01,3329.8
User Mgt: User Insight,65736,1189,96,240346,4789.65,0.157%,28.53074,80.99,3.81,2906.7
Audit trail,65707,1165,97,260543,4481.26,0.161%,28.51830,82.40,3.45,2958.9
User Mgt: Users ,65685,1319,97,211342,4768.20,0.152%,28.50869,98.58,3.59,3541.0
User Mgt: Requests,65655,1274,97,240504,4590.43,0.187%,28.49577,91.86,3.67,3300.9
User Mgt: Departments,65623,1229,96,298602,4406.43,0.187%,28.48245,91.99,3.75,3307.3
User Mgt: Roles,65601,1274,97,240704,5176.88,0.168%,28.47273,91.62,3.58,3295.1
Audit Trail,65568,1196,97,298661,4876.80,0.169%,28.45940,82.23,3.44,2958.9
Settings,65545,1176,97,240229,4540.32,0.163%,28.44813,80.08,3.52,2882.6
Help and Support,65518,1114,97,162993,3691.07,0.151%,28.43676,85.03,3.74,3062.0
TOTAL,985555,1362,95,625257,5189.12,0.190%,426.40759,1604.38,54.20,3852.8
